human	mouse	weight
11350	2099	0.04780523532541775
20779	7329	0.04450328876406396
16476	10971	0.03625414039810469
19303	2547	0.03374972236543423
216963	4000	0.029291724994851828
21349	596	0.028996054782909824
13858	2260	0.024492780729831038
225870	3064	0.024095973906875224
20466	6606	0.022986178822782838
24051	23468	0.022621040370642984
12477	4692	0.021380782688781828
22295	6929	0.020898759736991547
12737	3984	0.02075942810807711
21454	11337	0.02035252632063282
12520	6597	0.019960069382910724
140559	10036	0.01856223722650361
20391	1616	0.018531992181841313
22144	7917	0.017999916332622778
20473	1936	0.01762005848437014
15982	3791	0.017517793736293724
15903	5788	0.016986646475321828
243833	3339	0.016828326393129475
12421	10287	0.01682743074178283
22195	2252	0.016788311081798016
13347	23406	0.01671214064488018
13368	240	0.016472845027618463
24052	7531	0.016338619634881365
26904	8631	0.016145312146965275
20617	9463	0.015679162959409246
12466	3717	0.015499901602272735
94221	355	0.014733593736626652
13555	1915	0.014553960571546789
11546	6386	0.014519155575195935
20198	2781	0.014255682114650942
15461	3667	0.014087551006235875
56717	4286	0.013973125540217192
15260	2898	0.013944655103957709
30957	2897	0.013881679669499455
233908	4301	0.01376168466063565
12465	4066	0.01337565248411386
17318	23390	0.013049233288972643
53331	10419	0.012974704974462683
18518	3875	0.012771852126406111
12468	2773	0.012717078449587808
11773	8651	0.012358276761099758
20382	2775	0.012134917619299749
18106	5747	0.011963943373912881
21687	51176	0.011734911563243227
19052	51588	0.011667735151696414
56307	708	0.011543093737722564
