human	mouse	weight
5747	14083	0.4323008591519568
3667	16367	0.32705898243215015
6929	21406	0.15950311702418118
3717	20779	0.1377443595802673
4692	17984	0.1320624227240237
7531	22627	0.10024651017878962
2260	21687	0.09404089248509473
3399	15903	0.07959260078432072
3552	13555	0.0735865409285187
8651	13644	0.06197585810230097
596	12048	0.05757467856106033
7329	22195	0.05392579998407426
3643	11350	0.053028873646293974
2099	15260	0.04985198189592994
4066	21349	0.04077139852591185
3984	19303	0.03582777494479498
10971	225870	0.03452533989194928
10287	20473	0.03419570857627046
4904	233908	0.026280425172683742
9463	94221	0.025153725485529937
4790	20466	0.024492681266944937
3791	26400	0.02439354834179143
4000	18518	0.022635057104865353
2547	16476	0.02169114549424256
3339	140559	0.019271361366271823
6386	17475	0.01797224813925994
5599	18754	0.017886813115826895
2224	15461	0.017528778741637076
2897	22295	0.01743447062324739
3064	24051	0.017285443151626625
11337	53331	0.01514115322483894
3084	216963	0.013735125798614788
2898	12737	0.013280045020783336
23598	20683	0.012726806256452344
9464	15904	0.012544667827819813
23468	13858	0.011762648665499253
7409	14786	0.011755696229710288
4301	72088	0.01146129507281841
2252	12520	0.011344401591671513
1616	12468	0.011190443317968026
6606	12125	0.010892451487403077
355	30957	0.010294387053129928
8683	20382	0.010237923827441112
10036	12461	0.009178335525153838
308	50915	0.008460193611264608
6597	12465	0.008388873105618401
10419	243833	0.00834270958277952
6720	17125	0.008254087585861696
8631	11546	0.007824999568030625
3688	16331	0.007480437057120974
