human	mouse	weight
5747	14083	0.29724154280785087
3667	16367	0.2545497587479413
596	22195	0.08427070790210435
2099	15260	0.08178865456024771
6929	21406	0.07537954091548293
7531	22627	0.07176634698584458
4692	17984	0.07052447903608913
4000	16476	0.05525756505797944
3791	21687	0.05126246311317464
10287	13555	0.050694382267196435
3064	20779	0.04595152160844009
2547	53331	0.04458352497648375
7329	18518	0.042545940204255575
2260	11350	0.03857751181866228
3399	15903	0.03480651049642822
10971	225870	0.0347233316587109
1616	20473	0.03183445434565127
11337	94221	0.025799228955450233
4286	233908	0.02456364559545273
6606	12468	0.022990545490872115
7917	216963	0.022697288077308895
3984	26400	0.022486180556405787
1936	15461	0.02190644735527314
4066	21349	0.021567307061713593
4904	24051	0.021114338328940645
4152	56717	0.01776459186291005
3643	110157	0.017056770546956538
8631	12461	0.014836096659461414
904	13858	0.014381391671991013
4790	16331	0.013481275515063042
3838	22144	0.012666296481042765
9463	17475	0.01219382026297036
4301	20467	0.012000077327232976
3875	13368	0.011818519260766743
3339	18106	0.011257167261595181
6386	72088	0.01124797339747011
240	11773	0.011234395097546148
2252	12125	0.011152387336440804
3717	22030	0.01112878480624326
5788	12520	0.011102797847433765
1915	22295	0.010829673236127754
10036	56307	0.010607722815185195
5599	18754	0.01011377780687364
23406	15982	0.01009488652511019
2898	20617	0.009932021930908485
8651	20466	0.009860730762363991
6597	13138	0.009682691928606874
23468	12737	0.009614210515649521
51176	11546	0.009517126163924665
2897	30957	0.009403236231786747
