human	mouse	weight
5747	14083	0.4609346912153533
3667	16367	0.3450097399655768
6929	21406	0.1757082282856157
3717	20779	0.15134676583176157
4692	17984	0.14672084989655504
7531	22627	0.10622774230905377
2260	21687	0.10167183732409596
3399	15903	0.08458157883365366
3552	13555	0.07871365083689126
8651	13644	0.06551960390391957
3643	11350	0.05872434685247335
596	12048	0.057703374442314846
4066	21349	0.04444098537115634
3984	19303	0.040567647853640164
2099	225870	0.039262212421292596
7329	22195	0.030583237223433316
3791	26400	0.025755873448032776
9463	94221	0.02413163892186899
4790	20466	0.022753201248604735
4904	233908	0.021521318565101862
6386	17475	0.021093056465621866
2224	14786	0.020936487774963857
5599	18754	0.01936579455819763
3084	15461	0.018987453156735064
11337	50915	0.01775366208678493
2547	16476	0.01758530452173583
2252	12520	0.0175061860823113
4000	216963	0.016643587321493652
2897	12737	0.015560201472675438
3339	140559	0.015155749627645144
9464	15904	0.015095314972776778
2898	22295	0.014018439634192895
6606	12125	0.013831944306088407
23598	20683	0.013683852340761277
4301	72088	0.012797774312448672
7409	20416	0.012518699463390605
10971	13858	0.011290428076087003
8683	20382	0.011082818179972021
355	30957	0.010499435891929174
3064	12466	0.009590093186664322
23468	24052	0.009017520875691087
1616	20391	0.00864244812655936
6720	17125	0.00860242952350549
10419	243833	0.008246743251398134
6597	24051	0.007571505078562176
10036	21454	0.007340614084739952
3688	16331	0.007319367342730133
240	13347	0.007191225816077638
1936	11546	0.006972812364260906
23406	12477	0.006956255371965694
