NP_014101.1	NP_592864.1	340.0
NP_014101.1	NP_592864.1	89.7
NP_014101.1	NP_595714.2	156.0
NP_014101.1	NP_596340.1	146.0
NP_014101.1	NP_593647.1	124.0
NP_014101.1	NP_595159.1	118.0
NP_014101.1	NP_001018849.1	114.0
NP_014101.1	NP_593557.1	117.0
NP_014101.1	NP_595950.1	115.0
NP_014101.1	NP_595457.1	109.0
NP_014101.1	NP_594436.1	99.4
NP_014101.1	NP_588010.1	95.5
NP_014101.1	NP_588136.1	93.6
NP_014101.1	NP_593607.1	91.3
NP_014101.1	NP_593404.1	90.1
NP_014101.1	NP_596081.1	89.7
NP_014101.1	NP_593874.1	82.4
NP_014101.1	XP_001713069.1	76.6
NP_014101.1	XP_001713142.2	75.9
NP_014101.1	NP_596328.1	74.7
NP_014101.1	NP_595991.2	75.1
NP_014101.1	NP_595991.2	46.6
NP_014101.1	NP_588310.1	70.9
NP_014101.1	NP_588310.1	42.7
NP_014101.1	NP_587949.1	66.6
NP_014101.1	NP_593057.1	63.2
NP_014101.1	NP_595093.1	58.9
NP_014101.1	NP_593384.1	55.8
NP_014101.1	NP_588555.1	54.3
NP_014101.1	NP_588140.1	46.2
NP_014101.1	NP_595822.1	44.3
NP_014101.1	NP_593184.1	39.7
NP_015120.1	NP_593184.1	419.0
NP_015120.1	NP_001018849.1	72.8
NP_015120.1	NP_593557.1	68.6
NP_015120.1	NP_595714.2	63.9
NP_015120.1	NP_596340.1	57.0
NP_015120.1	NP_595159.1	53.1
NP_015120.1	XP_001713142.2	52.8
NP_015120.1	NP_593607.1	49.7
NP_015120.1	NP_592864.1	47.8
NP_015120.1	NP_595991.2	46.6
NP_015120.1	NP_593384.1	42.7
NP_015120.1	NP_596328.1	42.0
NP_015120.1	NP_588310.1	40.8
NP_015120.1	NP_593404.1	40.4
NP_015120.1	NP_588136.1	40.0
NP_015120.1	NP_593874.1	38.9
NP_015120.1	NP_593647.1	38.1
NP_015120.1	NP_595950.1	37.4
NP_015120.1	NP_588010.1	37.0
NP_015120.1	NP_587949.1	36.6
NP_015120.1	XP_001713069.1	34.3
NP_015120.1	NP_593057.1	34.3
NP_015120.1	NP_595093.1	34.3
NP_015120.1	NP_595457.1	33.9
NP_015120.1	NP_594436.1	33.5
NP_015294.1	NP_593607.1	137.0
NP_015294.1	NP_596340.1	124.0
NP_015294.1	NP_001018849.1	117.0
NP_015294.1	NP_595457.1	115.0
NP_015294.1	NP_593557.1	115.0
NP_015294.1	NP_595714.2	110.0
NP_015294.1	NP_593404.1	105.0
NP_015294.1	NP_588136.1	93.2
