human	mouse	weight
596	22195	0.08837816104154901
2099	24051	0.07371790042512506
7329	15260	0.0617035307619107
4000	216963	0.057804674066579007
2547	16476	0.051858782733507046
10287	18518	0.051566836131904895
6929	21687	0.050631585743275934
3064	94221	0.04264659355687143
10971	20779	0.038202237188897065
6606	20473	0.03624821588807112
4286	53331	0.03490852333428018
1616	233908	0.031444211335829274
2260	13555	0.02649515716998474
4692	15903	0.02573756073529127
4904	13858	0.022705291852652857
3791	16331	0.022006938395773556
7917	12468	0.020900346781647917
1936	12461	0.020314902785232163
11337	56717	0.019060530950174202
3984	72088	0.018692805789298664
23406	225870	0.018673419182906433
3339	15461	0.016187398051573102
3838	12477	0.015395751245820101
3717	20467	0.014797782008941976
10036	140559	0.014749666324108563
4152	243833	0.014717338928996692
4301	13347	0.014277719131756622
3667	14083	0.014226526525181932
3875	12421	0.014008951691030865
5788	18106	0.01310738390850162
8631	17475	0.01310450209747981
2252	12520	0.013087582993797657
904	17125	0.013084481490772223
7531	20198	0.012998056978507302
1915	12737	0.012937717624400928
8651	22295	0.012415532807906056
9463	30957	0.012074367543839322
23468	21349	0.0116082861587192
4790	12048	0.011559970731078006
240	13368	0.011429285737547899
51176	22030	0.011393517530861364
6597	11350	0.010737609019352072
6386	15982	0.010700425479449518
2898	12465	0.010584383456493048
10419	11773	0.010582445840548495
5747	13138	0.00997080482731765
2897	12466	0.009673277986081839
355	11546	0.009253651672338813
708	20617	0.008633696947260351
3688	26400	0.008104959411795511
