human	mouse	weight
1956	18999	0.1704390641732997
7157	71950	0.06023993066002443
2099	26380	0.040896855741247296
2033	12387	0.03962621101048783
5925	20586	0.030381877362664733
3845	22034	0.025946199660052346
1499	12005	0.019419592814498024
672	53424	0.018068820020648288
367	56717	0.016454921768346824
7329	20467	0.014589044933142985
2885	433759	0.013427958261180664
10155	13017	0.013289419447276614
867	18708	0.011707010035636036
598	18538	0.011647322773746051
5970	12402	0.010844605440016798
3265	22059	0.010561947180113393
2547	18412	0.010492286855780734
351	12695	0.009951521774234381
1387	64930	0.00903897900680186
1017	19645	0.008897989479972784
9500	16476	0.008438257666351243
6929	12190	0.00838472580767841
7088	328572	0.007817423684383689
4036	14056	0.007544412723236193
7428	21423	0.007439141395684324
207	20779	0.007429863748139335
1616	15260	0.007229915190266273
5111	67155	0.006090374196127987
596	17762	0.006079111491190867
5371	22195	0.005508686922838548
1488	53331	0.005432289616135261
387	21687	0.0053730504452047
6464	81601	0.005322128307070907
5573	13385	0.00530464351085108
7273	20181	0.005295365943385842
4088	26423	0.005075569661746642
10287	50754	0.004973635434078826
4301	94221	0.004892023650292995
2316	21374	0.004867276844096817
286	14163	0.00484032336468892
2017	233908	0.004715440485985067
4000	17246	0.004414266750632227
6714	19821	0.004339217496252373
7337	13131	0.0042093870797000905
3791	93762	0.004068072354456573
3708	243963	0.003962031960275882
10971	20674	0.003828229523804046
7917	24051	0.003821829553173744
5594	19401	0.0037927631227737267
8573	14784	0.0037245223039160595
