human	mouse	weight
1956	22034	0.07779116061652988
2033	53424	0.06453007958767654
2099	12402	0.05262428996806697
5925	12387	0.0428954116465928
672	18412	0.03338350138094811
1017	18708	0.027730270172101168
867	12695	0.024832651932093497
2885	433759	0.024300855549573116
5970	22761	0.02315451210148655
1387	64930	0.021020310138849908
596	14056	0.020614680106015866
1499	18538	0.017829473764069327
207	328572	0.016978111386414488
405	16476	0.016038337444652922
4301	22195	0.016012975888963846
7329	15260	0.01600490077120088
351	17246	0.01464849653825741
10287	21687	0.014383210752230719
2547	16151	0.01427225259054927
6929	59007	0.01270698254633305
1616	20467	0.012110063653445304
4000	13131	0.011875655681320115
4088	20473	0.010369199904923247
5906	21349	0.0103625870871408
367	14163	0.010081584906289945
10399	53331	0.00998199106622371
7917	24051	0.009978773498105964
5111	233908	0.009949843383471931
10971	13385	0.009589618906451826
5590	20779	0.009092845210873396
4297	12703	0.00903434312047032
2017	12468	0.008983812613381704
5371	17762	0.008976048383319835
6774	17257	0.008943949023479813
4985	93762	0.008267643963098181
11337	56717	0.008165288742457975
4233	14784	0.00816228819258863
3708	94221	0.008091960269574039
1277	216963	0.008033009265735993
409	12534	0.007532421861225733
4790	17927	0.007473221690227439
23163	13858	0.006878948250255672
4692	22778	0.0068532994326644826
5888	12575	0.006812841175349162
3064	12042	0.006644441180192398
10036	18024	0.006294174577123874
10755	66682	0.006106264373750754
4089	54126	0.006013591386265358
3875	15903	0.005936492882284707
891	18140	0.00583028083636658
