human	mouse	weight
2099	15260	0.08655505953258298
10287	22195	0.06397153753244733
596	15903	0.057335142656525
7329	13555	0.04937754984806532
2547	21687	0.044487305913268424
4000	18518	0.040981980140914864
3064	20473	0.03775244938614835
6929	53331	0.032830345555441766
10971	16476	0.031125221988939508
1616	233908	0.029435247732246907
23468	24051	0.027982012711223397
3717	94221	0.02741666336063361
4692	20779	0.025353503304853853
3984	13858	0.021801168616735117
6606	225870	0.0215467171727619
2260	26904	0.0195042953848711
3791	216963	0.0192303450958079
10036	19303	0.01785111886614348
11337	17125	0.0172921283645207
7531	11350	0.015738371097620513
240	13138	0.01558784541569867
23406	17475	0.014599583057983449
2252	22030	0.014521600006154775
6597	12468	0.014203309855139385
5788	15982	0.01404529805168147
7917	12461	0.014043138195206514
8631	12421	0.013708399110159013
2897	72088	0.013383622062938619
10419	12465	0.013349654954203817
2898	16331	0.013192790959399108
3339	56717	0.013174975684662964
1936	12477	0.013033441790319714
9463	30957	0.012718600128442014
6386	140559	0.012514488950865372
355	20198	0.011588524474302187
3667	20617	0.011504817781022027
8651	14083	0.011058497103658015
4286	243833	0.010630523382530592
1915	15461	0.009745736143979153
5747	21349	0.009542022488889284
7341	11546	0.009388832238284194
4790	18106	0.00932797712136425
4904	13368	0.008965705278858819
3552	26400	0.008417643176978132
149428	20466	0.00802109570358104
8678	56307	0.007934043359511901
3084	22295	0.007913248027109267
3875	12048	0.007893720593570774
4152	22144	0.007874240903542442
663	12737	0.007773332107270689
