human	mouse	weight
1956	53424	0.11465382759278507
2099	18708	0.0816706704284746
2033	12695	0.06644817296397633
672	64930	0.05651250970244026
405	16476	0.03977764718627054
1017	15903	0.0351915438268742
10287	21687	0.03162282217006261
2885	13131	0.028688219253566807
351	433759	0.027674877540170426
409	233908	0.0262947207728832
1499	20473	0.02361054432384058
7329	94221	0.023434482471339127
1387	22778	0.0224590039190543
5925	24051	0.020151642652043774
7916	17349	0.019675139337624985
3791	14163	0.019667697387686915
5371	13385	0.017427460849961933
3064	18538	0.016591979446411696
2260	93762	0.016190924436168052
1616	67155	0.015573952882854361
23163	23885	0.014541685717399366
1277	66682	0.013744306223586
4088	330914	0.013308202119881178
11337	17927	0.013173713659910607
4171	245828	0.012735485450701406
6635	11773	0.010603915438203193
10755	12387	0.010444097354955165
6774	12952	0.010442973245118005
1936	67923	0.009968484676922558
891	22601	0.00988952889327224
1915	21677	0.009686799949861094
6416	11666	0.00897808231018302
7917	18627	0.008901147231463223
5111	15165	0.008884727642309714
3838	12477	0.008608145962391605
1600	22144	0.0084017110405112
22950	15461	0.007989140154335555
421	98376	0.007962223775007082
823	20924	0.00788782925337534
338	18786	0.00785336112149974
580	18193	0.007847994221985143
904	18514	0.007799070050393661
3708	14828	0.007776706107935613
377	13017	0.007738927709352899
7273	22030	0.007717247759184013
4926	26400	0.00763110809974123
6521	78891	0.0075999348610535054
2252	99152	0.007549810584536816
1026	13138	0.007491421530366394
896	17475	0.007324498419514248
