human	mouse	weight
2099	20779	0.05110044282878688
7329	11350	0.047240999341254405
2547	19303	0.03174835997783839
596	225870	0.03135604315453833
4000	16476	0.029744447433366097
10971	53331	0.029010444292970203
23468	216963	0.024443989808655725
6606	72088	0.023658347871115905
3064	11546	0.023292080256105997
6929	24051	0.021891299363054336
2260	12421	0.021143658304610437
3984	20467	0.020817888474029295
6597	26904	0.020472393926342633
11337	17125	0.020279120393127965
3791	13368	0.020144394580513935
7917	12477	0.01935661225631952
10287	13858	0.019272281010943155
1616	30957	0.018893787829237084
4692	140559	0.018625253085011118
1936	15982	0.018511807344970554
5788	20391	0.018271325294342017
2252	56307	0.017298293257252868
3339	13347	0.017237759611469148
8631	21687	0.017214819561664624
23406	15461	0.017062800959078753
240	12520	0.017011955072135692
10036	20473	0.01663645604954737
4286	12466	0.01658394004491848
3717	94221	0.01651385428514757
2898	17475	0.01626479111957111
6386	24052	0.016051006029776577
2897	13555	0.015489464737728711
4066	20198	0.015005375292021401
355	12048	0.014905669012224025
2775	15903	0.014612901065884388
1915	243833	0.014565271868098875
2781	18106	0.01441801145567195
3667	22195	0.014401528843427942
7531	12125	0.014391289561373756
2773	12461	0.013545521501160977
10419	21454	0.013482788903152493
23390	233908	0.013029044908097372
3875	20382	0.012844157424934471
9463	12465	0.012550084324325191
4790	56717	0.012528574942771247
904	18518	0.012398654817556639
8651	26400	0.01231721047307777
4904	22144	0.012066512394124016
3838	22030	0.011779892814852517
4301	22295	0.011730474909344262
