human	mouse	weight
2099	20779	0.06202701868712559
7329	16476	0.05140342601131676
2547	11350	0.036421695707527346
596	216963	0.03575965365444308
4000	225870	0.032319705605576315
3064	19303	0.02571068566516873
1616	12466	0.02312805937716806
23468	21454	0.022780359353945775
3717	13858	0.022020600358964543
4692	15903	0.02027540332291808
11337	26904	0.019985417350560565
6606	24051	0.019890109887312588
3984	15982	0.019651127462267194
3791	13347	0.01893886396998425
2260	13368	0.018794905349191454
10971	20391	0.01849773253964473
10036	24052	0.018426680253869912
3667	53331	0.01708830862039765
8651	21687	0.016284864237118096
2252	20466	0.016200902043359135
5788	243833	0.016169529515166377
240	72088	0.016040411681119176
23406	20473	0.01592340394253192
10287	94221	0.015862791450343694
3339	13555	0.015859344889198983
8631	20617	0.015684266213530033
6386	17475	0.014771468649991685
7917	11773	0.014253264224596319
6929	21406	0.014178466793067137
9463	14105	0.014070237409929139
355	15904	0.013699873864081832
2898	20467	0.013612050410702077
6597	21349	0.013492803349937688
7531	20382	0.013043914047747206
10419	11546	0.01279292056503748
5747	22030	0.012661442212228233
2897	22144	0.012573174167348896
2773	56307	0.012533656296140698
2775	26400	0.0116546079127376
2781	30957	0.01142048357562837
4286	15260	0.010285586435812894
7341	18106	0.010052390253719286
3552	18518	0.0099255160131696
3643	19052	0.009844041069813344
149428	12520	0.009187876437870638
8678	12048	0.008843180559232057
1936	20198	0.00836379222160689
663	22295	0.00831381999055064
2224	20683	0.008171247870835521
3084	140559	0.008147457807149018
